State,District,Document Code,Document URL,Date,Title,Description
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,D-DIP0000000692,https://pmksy.gov.in/mis/Uploads/2017/20170116054804936-1.pdf,15 Jan 2017,DIP of Nicobar District,Proposed financial and physical assessment to be undertaken under PMKSY  in 04 Years projects
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,D-DIP0000000691,https://pmksy.gov.in/mis/Uploads/2017/20170116053849476-1.pdf,15 Jan 2017,DIP of North &amp; Middle Andaman,Proposed financial and physical assessment to be undertaken under PMKSY  in 04 Years projects
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,D-DIP0000000690,https://pmksy.gov.in/mis/Uploads/2017/20170116053101798-1.pdf,04 Oct 2016,DIP of South Andaman,Proposed financial and physical assessment to be undertaken under PMKSY  in 04 Years projects
ANDHRA PRADESH,ANANTAPUR,D-DIP0000000730,https://pmksy.gov.in/mis/Uploads/2017/20170125072923481-1.pdf,25 Jan 2017,DIP Ananthapuramu,DIP Ananthapuramu
ANDHRA PRADESH,CHITTOOR,D-DIP0000000731,https://pmksy.gov.in/mis/Uploads/2017/20170125072923528-2.pdf,25 Jan 2017,DIP Chittoor,DIP Chittoor
ANDHRA PRADESH,EAST GODAVARI,D-DIP0000000735,https://pmksy.gov.in/mis/Uploads/2017/20170125115901932-1.pdf,25 Jan 2017,Andhra Pradesh - East Godavari District -PMKSY DIP,Andhra Pradesh - East Godavari District -PMKSY DIP
ANDHRA PRADESH,GUNTUR,D-DIP0000000732,https://pmksy.gov.in/mis/Uploads/2017/20170125072923559-3.pdf,25 Jan 2017,DIP Guntur,DIP Guntur
ANDHRA PRADESH,KRISHNA,D-DIP0000001209,https://pmksy.gov.in/mis/Uploads/2017/20170314113530562-1.pdf,14 Mar 2017,DIP Krishna,DIP Krishna
ANDHRA PRADESH,KURNOOL,D-DIP0000000734,https://pmksy.gov.in/mis/Uploads/2017/20170125073828648-2.pdf,25 Jan 2017,DIP Kurnool,DIP Kurnool
ANDHRA PRADESH,PRAKASAM,D-DIP0000000835,https://pmksy.gov.in/mis/Uploads/2017/20170201022029744-1.pdf,01 Feb 2017,DIP-Prakasam District,DIP-Prakasam District
ANDHRA PRADESH,SPSR NELLORE,D-DIP0000000736,https://pmksy.gov.in/mis/Uploads/2017/20170125115901963-2.pdf,25 Jan 2017,DIP_Nellore,DIP_Nellore
ANDHRA PRADESH,SRIKAKULAM,D-DIP0000001277,https://pmksy.gov.in/mis/Uploads/2017/20170317110645284-1.pdf,17 Mar 2017,DIP SRIKAKULAM,DIP SRIKAKULAM
ANDHRA PRADESH,VISAKHAPATANAM,D-DIP0000000742,https://pmksy.gov.in/mis/Uploads/2017/20170127060821722-1.pdf,27 Jan 2017,DIP VISAKHAPATANAM,DIP VISAKHAPATANAM
ANDHRA PRADESH,VIZIANAGARAM,D-DIP0000000729,https://pmksy.gov.in/mis/Uploads/2017/20170125034746558-1.pdf,25 Jan 2017,District Irrigation Plan,DIP of Vizianagaram
ANDHRA PRADESH,WEST GODAVARI,D-DIP0000000748,https://pmksy.gov.in/mis/Uploads/2017/20170131102135120-1.pdf,31 Jan 2017,DIP-West Godavari,DIP-West Godavari
ANDHRA PRADESH,Y.S.R.,D-DIP0000000733,https://pmksy.gov.in/mis/Uploads/2017/20170125073828617-1.pdf,25 Jan 2017,DIP YSR Kadapa,DIP YSR Kadapa
ARUNACHAL PRADESH,ANJAW,D-DIP0000001529,https://pmksy.gov.in/mis/Uploads/2017/20170620105544659-1.pdf,20 Jun 2017,DIP ANJAW,DIP ANJAW
ARUNACHAL PRADESH,CHANGLANG,D-DIP0000001458,https://pmksy.gov.in/mis/Uploads/2017/20170505104551586-1.pdf,05 May 2017,DIP_Changlang,DIP_Changlang
ARUNACHAL PRADESH,DIBANG VALLEY,D-DIP0000000694,https://pmksy.gov.in/mis/Uploads/2017/20170118102528685-1.pdf,18 Jan 2017,DIP Dibang Valley,DIP Dibang Valley
ARUNACHAL PRADESH,EAST KAMENG,D-DIP0000001402,https://pmksy.gov.in/mis/Uploads/2017/20170501094431082-1.pdf,01 May 2017,DIP EAST KAMENG,DIP EAST KAMENG
ARUNACHAL PRADESH,EAST SIANG,D-DIP0000000549,https://pmksy.gov.in/mis/Uploads/2016/20161125012216040-1.pdf,25 Nov 2016,Arunachal Pradesh-East Siang,Arunachal Pradesh-East Siang
ARUNACHAL PRADESH,KURUNG KUMEY,D-DIP0000001500,https://pmksy.gov.in/mis/Uploads/2017/20170526123517526-1.pdf,26 May 2017,DIP_Kurungkumey,DIP_Kurungkumey
ARUNACHAL PRADESH,LOHIT,D-DIP0000000698,https://pmksy.gov.in/mis/Uploads/2017/20170120114138540-1.pdf,20 Jan 2017,DIP Lohit AP,DIP Lohit AP
ARUNACHAL PRADESH,LONGDING,D-DIP0000001403,https://pmksy.gov.in/mis/Uploads/2017/20170501094611356-1.pdf,01 May 2017,DIP Longding,DIP Longding
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,D-DIP0000000518,https://pmksy.gov.in/mis/Uploads/2016/20161010053339301-3.pdf,06 Jan 2017,"Lower Dibang Valley, Arunachal Pradesh","Lower Dibang Valley, Arunachal Pradesh"
ARUNACHAL PRADESH,LOWER SUBANSIRI,D-DIP0000000516,https://pmksy.gov.in/mis/Uploads/2016/20161010053338927-1.pdf,10 Oct 2016,Lower Subansiri Arunachal Pradesh,Lower Subansiri Arunachal Pradesh
ARUNACHAL PRADESH,NAMSAI,D-DIP0000000663,https://pmksy.gov.in/mis/Uploads/2017/20170105024523785-1.pdf,05 Jan 2017,Arunachal Pradesh-DIP,Arunachal Pradesh-DIP
ARUNACHAL PRADESH,PAPUM PARE,D-DIP0000000517,https://pmksy.gov.in/mis/Uploads/2016/20161010053339098-2.pdf,10 Oct 2016,"PapumPare, Arunachal Pradesh","PapumPare, Arunachal Pradesh"
ARUNACHAL PRADESH,TAWANG,D-DIP0000001528,https://pmksy.gov.in/mis/Uploads/2017/20170620105415270-1.pdf,20 Jun 2017,DIP Tawang,DIP Tawang
ARUNACHAL PRADESH,TIRAP,D-DIP0000001453,https://pmksy.gov.in/mis/Uploads/2017/20170504011843471-1.pdf,04 May 2017,DIP Tirap,Dip Tirap
ARUNACHAL PRADESH,UPPER SIANG,D-DIP0000001404,https://pmksy.gov.in/mis/Uploads/2017/20170502122115070-1.pdf,02 May 2017,DIP Upper Siang,DIP Upper Siang
ARUNACHAL PRADESH,UPPER SUBANSIRI,D-DIP0000000561,https://pmksy.gov.in/mis/Uploads/2016/20161130020435241-1.pdf,30 Nov 2016,AP-Upper Subansiri,AP-Upper Subansiri
