States,Total Districts,SIP,DIP Uploaded
ANDAMAN AND NICOBAR ISLANDS,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?HBhGiusn8mRZ8f8cAnjjAltbvTgwDrgetyarOHjU6XnE4LePlJRQe357noa/76qbEZzrkxqD9LM8S/47V+UPFsJuoBUK/ZltCgZet1Qm+mpFqxbHHnhifMxRxPod+ulmVtP0+Vy/We47ZwQPgdOjpxZtQgMLbc9jYal1EM1v0AjYsTbF3nLWbeu81hhHdT4G3dmE7EbLDi+k2ZsvX2bR2BoqBLMYCRsEFjqFV/VCDAsJOQdjS5SmwD6f4MFOqDAU"", ""3"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2017/20170116051448155-1.pdf"", ""SIP0000000689"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?fCIgtsgcV6Dnnn2mF0vx0U0zBIXj5FH4vhszrF52b7Pn/w5G1tlZw1W+oyXs8orc4FwGW94OzbBZjIJ9isDnY0IyllndPI26G+gVFl+8jmi4sUXyKWTDQ4Z3UW3kzUQC0yILasdKC/+37i+3biLBKIaTyd5o7Q22Bp4oTovl4U4fXkB8fCj6KfQjPdKjHjfEnc9FV3xEn8O/R/3Et5Q68QfJh1OsYO6lbPDEwt0kVLVhvnMNNntnNKOGu6y/aVxE"", ""3"")"
ANDHRA PRADESH,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?7VLWy9mbahFJI1FeNX9EPg1beBy9LiITd2sqrqlDju43yyMzoAloBmx201DJpeH1WwtWwy/jSeAmnqDUNB5AHkrSIGOpl0GTwfc1uLWz78YIvlnmJrPzjzxhNK4aL9cNeC+b+kk7nyAl55e7F0FvF8gUACUHlc7i3/zTXqz5e5URVKeOB8qguVQ07NfdfhGvD+7jj1eGazo="", ""26"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2017/20171109011319134-1.pdf"", ""SIP0000001645"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?sqt07KWcNIQjkUt/ERd2QCWq0lW+mCW0DAS+hNvW1R28MdwBnHzFN0FsL468y982Dcfh7AvDHMc5V1RSrgadTOn6jRJTcs2MotX5W2kxY/agbfbGiA8KQZ12M7IYFb8N2DjpyqEvqn2hiuv1eZWqUubVh7VvpOG1DVL8SrRsE5f8Quoj1YH/GjC5M1Oovn8e1Wf3MW7V/2o="", ""13"")"
ARUNACHAL PRADESH,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?Ey5HGCfV1ZmlJUuHxoDRME3J0T2nA2wmy603y/dO+0BUjVGpXPSm+T5zufkQmD5pDP1HJSRkLjyDnmk3RUJIo6aT8mOuNGBi1rGTALuvB6P1X0UR5rzFXC5kncLJ70dHxClO2tg8hxrdOK7r4OY8/11/3/9JjxBncf0BIN/TjK5YIlKp2uPA/oI8ZidBvvRCSjOXPDrowwCgRARetMmS8A=="", ""23"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2018/20180424035014796-1.pdf"", ""SIP0000001715"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?QbGX9P3veB0IWy0doo0TT/pFFhGv44FMJbtnN5vwWcv/8uCYlN6JtXrw/0LsFWBURyG4AfSMSzSR6zHr+kLdn3SHUkQCNKZwGg6qbZbzcXKJjFHMvQaO45e2W/LdT+CaVV6/W4hONZ4Cn49A+yb2vTEg9uwK6VgaZkFiq9OHZ4SH3RJzmemHEE5NkLlKA4MqAs4UJ/ipGqcVFxqH42ZAqw=="", ""18"")"
ASSAM,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?kov9+4Znltf9e+h1YbmDsRJTkPXrw4Aswge+EAHqHCiC6qHRtK3tRx4/BriPzVFqWh7EyCEmXS3pu68we4d1nouTjVXWjEIGpMd5D68L537yoCEEd1fWdITSH71tD02vJ6vMglAjFFqYaR1dzqko1ZxsVHYA/qI1VqxAZnDCUAt76JIWH/qJuAj31qfWEckI7g+L+KApx84iYBir1XkU6CRxCSlwOaGN3c4zHSV1htDiYJtxbZHGnA=="", ""35"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2017/20170127111007784-1.pdf"", ""SIP0000000737"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?KS5sbCsruHirIbwKi1foxizQiBrZ9KuzuvDovgwqtYt/dW4iy9yDvBqsjFmzOzR+GeOfpnHAMrz/uwCqrZ4/ewWvXo1rG6RLUL4jSZrZVlzSOOpACXi65TcqGgP/mI+NGNCL+YXeahFp+bHkp7IkSAvvRXjzG0r2y9MY04+DXzaROBE8PZ0a7FlrXQGncKM55PDsmFMKw/lNFHt9ISqKOCr6vlParaKIJQ4EYvsplCsyaZJPQ+/nMQ=="", ""27"")"
BIHAR,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?0eOLDH1+5nAC2JKPWLmjclYN/fJiJkUbjJBjqVKqdTgQEYJDZ07iDoc2uJI2tKgk7ZB42LQXOmhrNTJ8+LcnnDKj4qnZCGzPgw8brjPLs0LxrbrZWRChMzT6vO/A2iLJ2WIZtAGsjsuQBiuR+sFzY1LgYr6BB86NW5vNZRybyJbS3H+TXdBe3aaZXhEfUl2MvbCMomwfu8vPGaixrVPEbIWDMn3xX0CZKBWRXYZ99/qfAmaFvk/5nA=="", ""38"")",,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?ERBqwbJ9uxblzKdj2BX8T09RZcu/hyffV5sG7tLHfTQu9z+9WoVubhk9vE2cLDijFaDrsvavojdCqI+IdKWXHAgISexRXSGleoLVCTsvG24PtyyDxxYhrKl64vuea1APaUun1n7h+G7PQ6ObnaiWlqjlBRclkQ3DyIUtj3rIlUWENvICLho7E7/PrLiBn7FKHAXjo+hw0Msx7ClK0tFBrFUrVFQAmH0ltwvxR64aSpcFCYqU3NeX1Q=="", ""38"")"
CHHATTISGARH,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?5bwqNw1C+vfIUNY9xzz4KUzswjqDqkXinnjZl+HRQvVGKuyxvlJnENzdciiUyljCEe0hgPoIPLjNSxZxry+SL42rXcUnlTmzQbLsJXc3XXciGTdjvgU3/hJzZOySuxFmNfyM9mPIleDnwAC5eEaMQlsl4u3QkLjPb8v2awrbZi5OjmNvxE06y/ArgmbUArW0ZYQDe69jtbw="", ""28"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2016/20160516012543251-1.pdf"", ""SIP0000000140"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?/Eec47zyZd7tbriiZz+BOkJvm3gcE86EkAPf73WxRM8NSWc+aWZthnP1GkcDovv6Um/KS+t7x16WRVBZJlcTeZDh4VPU24h7fn0uxUnFepK1nV/br0YIPLJdFNGXC1yUZzeWwPSaZ91XJNU8G9Du4S54SThn5qLL4l8ZMIGahRcVOMqLrPVIjE8wm4jWWRWASmCC197UiKw="", ""27"")"
DADRA AND NAGAR HAVELI,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?WYaoe9dWevE8GoXF++9+VXB+rzOg1y0+Shg9dVTYfnRg2PLYX98i/IaIQUgWM7TSrJ70RwITQZCjxi+oF0NwSpWNS1ka4IwNmztdAlcunaAnsqIEwU1NZUHMrF+/Snfdr1hHkUevLogeHQH4XPNlNmsGAnDU9ulGsXeHCz9g14hv4yum3mNmJlLgeAvV4bbA/n0yxtgm5fenq2S9hVbVdcQPf4kaaAumYRA10fBLS1CsjEIDXSRZ3Pd9kvhOkTjn"", ""1"")",,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?yTr+l9VHyz4KfhTUm33vkbfDB5FQzEsilxzQNH4/BBcDgGWFbOyBw6VKkdrN3siiWqiRSJNt769T0jtIctnlXbRuJudxusWCiuwGdZ18AGkDZ6vrvInmcJtfmEmUFewBPoVcO+K2/UsjD0HLEZtmCpw0IwuLwgEVwIikRCy/a1EJBIFxVLjp4ubkOxMTf4AXcEoyBilzOHOp8RkO1v6cnqo0YcCBMkq5zYHBK2K0U4Y5KVrGrC08UdLT8dl00tgO"", ""1"")"
DAMAN AND DIU,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?oRUXVwf+GYzXJd/3S8M8heFe+VABVC+Hp0rkGbz6bbA0x9TA8YshebF5oaKhIu9/GzB740GXSIPeypoh1omE3NTvDrYCc7Ouw+h61rlLo7U0CWm7vD45MAn918HQLRRwd457yyw87hSa6oXE1ksCo/leOAEPWsOFTu5X2ksTvDr3opQi2yMPGCLFQ3XfQ3tl/GIaLcUpGn0k3WZ0X44tBP3AVOMnJUIGw5q5LzDzIdkv5v6M0kaPTvCTUEWWnPp8"", ""2"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2019/20190101125353218-1.pdf"", ""SIP0000001766"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?XwMzv5z3rGtNFOlLVzFEuj7RXJQJywSwtifZJjRIuXfMKYHkHIpr24XvWG+ToHl/d+ugjRjcTfYXYsmYY7PKZOx3UvG/QCo542YvmfNEzGZZkhjNGZ6DYHUg0UzqqVNY9Ph1z+3GgTnMsl78/Wyl9xgfIeQ361dLgSNjtityLrvHTQlzq0SK3yVXpy5Xh2UhQwvf/wjnUPAW/787PVzL5YG8JMNczlPKHSCbVZiACWU9sOwg+kQ31NJxoursALTD"", ""2"")"
GOA,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?JnntE7n4YuU0l1JXmUlgxZO3Ohv4ZCit/sWX54rzSWiSlXxvO/zeYGLU125c4HFN+5isdJYaNqVHfqzFNiCpzK0/E4Yuse8KHzgjpIxlI7YkKiXUqHae7teIcpGa4yCY+OiAtwR7dG7fGasM4I8EkMVu8A/dNHMdkpTA1VAZNHaXsgcaC4VWWpMKJV+2VRVxpzLZt+Z5j88sasabC4RrQSGFzH4D1ENMFgSQE65SrQAxvj86JS4bP3tC8HrN9OMM"", ""2"")",,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?8rQM/yQjUF3s6B0PRNGRG5YktpXYu4onGXVx6ebGKtjPiUvA/Jw4rbo2knauQvExgvGEZmDG8PJs3u8But9kPocDZv6+sdEggK/Yifb7R6aqcVw29L8/p7VDmvjf3l17CPH9GPHBS/G4KFvhioNsiJIL0vwAeoHb6oJMCcOxsqAN6WN61+g3P6w3iaKGPoMV9fXuRkOUmWXyxP3inLNVkKNAREfRo2VTzIFwK4zDbSNDKQ8tovyqpKnYrEMyXiD+"", ""2"")"
GUJARAT,"=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocDistrict.aspx?gQTS69wxkEj61Lp+1C2p2CAMkA6rCmvj6QNoKulKzyCiqaHMUwzzfu7cGhKzOKsjmPVWKy1Nrtoot+u66XtGBAy5er9wZPYY22J91bvabVqNO7qTW3rE5E+WayR4pSPBzfX6JgEtsZCOlGF8+55mifxJqJbgoPsddAejn2KfcrCDnZHyv6Ycmk4wggNLOIhE"", ""33"")","=HYPERLINK(""https://pmksy.gov.in/mis/Uploads/2016/20160901091708560-1.pdf"", ""SIP0000000414"")","=HYPERLINK(""https://pmksy.gov.in/mis/rptDIPDocAllDistrict.aspx?jxlpizPVht6/3ebwX0tmSc8XRTjmkLnfaC4vddvWXAoXl4ALQ8pyQA5cNELcNO7DiYhzc30q0rbEIgbPEK66PZNRoi7vZoknQsSgG7L4NfW9VyXe0EUFJe6Qn7k2P0eyaDSgJPcVH/+0L698eO7cLnQzGKiPxVtfIyEdqyizj4UEU8zv+94XyusT19ZcCNJr"", ""33"")"
